NameCorp,AfterEmerging,Assets1Before,Assets2Before,Assets3Before,AssetsBefore,AssetsCurrDollar,AssetsEmerging,AssetsPetCurrDollar,AssetsPetition,BondISIN,BondPriceDisp,BondPriceFile,BondPriceMoveDuring,CaseNum,CaseNumRefile,CaseNumTransfer,CeoFiling,CeoNotes,CeoReplaced,CikBefore,CikEmerging,CityChange,CityDisposed,CityFiledCategory,Chapter,CityFiled,CityRefile,ClaimsAgent,ClaimsAgentFirm,ClaimsSecDiscloState,ClaimsUnsec,CommCred,CommCredAtty,CommCredAttyCol,CommCredAttySubstit,CommEquity,CommEquityAtty,CommEquityAttyCol,CommEquityAttySubstit,CommRetirees,CommRetireesName,CommRetireesRequest,CommonName,CPIndexAtConf,CPIndexAtFiling,Cusip6,Cusip9,Date10k1Before,Date10k2Before,Date10k3Before,Date10kBefore,Date10kBeforeLink,Date10kDuring,Date10kDuringLink,Date10kEmerging,Date10kEmergLink,Date10kSalesEmerge,Date363Sale,DateCeoBegin,DateCeoEnd,DateCommCred,DateCommCredBy,DateConfirmed,DateConvDismiss,DateDipLoan1FinOrd,DateDiscloState,DateDisposed,DateEffective,DateEmerging,DateFeeRev,DateFiled,DateJudgeAppt,DateRefile,DateTransferred,DateTurnEngage,DaysDocsAfter,DaysEmergeToRefile,DaysFiledTo363,DaysIn,DENYOther,DipAtty,DipAttyColDoc,DipAttyColDkt,DipFinAdvPetition,DipLoan,DipLoan1Lender,DipLoan1Total,DipLoan2Lender,DipLoan2Total,DipLoanAdditional,DipLoanDoc,Disposition,DistFiled,DistribComments,DistribEquity,DistribSecDiscloState,DistribUnsec,DistribUnsecPct,DktNumConf,DktOnPacer,DocsOnPacer,DocsPublic,EbitBefore,EbitCurrDollars,EbitdaBefore,EbitdaEmerging,EbitEmerging,Emerge,Emerg10k,EmplBefore,EmplEmerging,EmplUnionBefore,EmplUnionEmerging,Examiner,ExaminerName,ExaminerRequest,FeeReviewer,FilingRate,FirmEnd,FreshStartAccounting,GdpDisp,GdpFiling,GdpRefiling,GdpYear1AftDisp,GdpYear1BefFile,GdpYear2AftDisp,GdpYear2BefFile,GvkeyBefore,GvkeyEmerging,HeadCAtFiling,HeadCityPctPop,HeadCityPop,HeadCourtCity,HeadCourtCityToDE,HeadStAtFiling,HqToForum,HqToHqCtCity,IncomeBEBefore,IncomeBEEmerging,IncPublic,InterCompanyClaims,InterCompanyDistrib,InterCompanyPct,JudgeApptDist,JudgeDisposition,JudgeFiling,Liab1Before,Liab2Before,Liab3Before,LiabBefore,LiabCurrDollar,LiabEmerging,LiabPetCurrDollar,LiabPetition,MonthDisp,MonthFiled,MonthRefile,MonthsIn,Multiple363Sales,NameEmerging,NetIncomeBefore,NetIncomeEmerging,NumberFiling,Prepackaged,PrimaryKey,Prime1YearAftDisp,Prime1YearBefFile,Prime2YearAftDisp,Prime2YearBefFile,PrimeDisp,PrimeFiling,PrimeRefiling,ProfFees10k,ProfFees10kNotes,Refile,Refile5,Refile5RepRange,RelatedFilings,Sale,Sale363,SaleConf,SaleIntended,Sales1Before,Sales2Before,Sales3Before,SalesBefore,SalesCurrDollar,SalesEmerging,Shop,SICDescription,SICDivision,SICIndustryGroup,SICMajGroup,SICPrimary,SubCon,TortCause,TransferCity,TransferDist,Transferred,Trustee,TrusteeFor,TrusteeName,TrusteeRequest,TrusteeRequestor,TurnFirm,TurnOffice,TurnPerson,TurnRepRange,TurnType,UsPopFiling,Voluntary,YearConfirmed,YearDisposed,YearEmerged,YearFiled,YearsEmergeToRefile
American Commercial Lines LLC,continuing 1/1/2010,814,,,814,"1,329",668,"1,011",619,US025198AE29,135,27.5,107.5,03-90305,,,Michael C. Hagan,,Replaced,0001068078,0001324479,,"New Albany, IN",Other,11,"New Albany, IN",,,,403.445,474.987,yes,,,,no,,,,no,,,,190.3,181.7,025198,938,12/27/2002,,,12/27/2002,12/27/2002,,,12/31/2005,12/31/2005,12/31/2005,,5/1/1992,10/6/2003,2/11/2003,,12/30/2004,,3/13/2003,10/19/2004,12/30/2004,1/11/2005,12/30/2004,,1/31/2003,4/14/1992,,,,,,,699,OT,Baker Daniels,Baker & Daniels,,,yes,,,,,,,confirmed,IN SD,,"7,000,000",403.445,474.987,100.0%,2801,yes,yes,no,9.206,15.037,68.437,103.814,56.102,yes,yes,"3,528","2,689",712,813,no,,no,no,57,,yes,89.859,83.791,,92.539,82.410,94.953,81.329,147568,162897,Jeffersonville,0.01%,"29,561",IN New Albany,562,IN,6,7,-70.011,11.813,DE,,,,IN SD,Basil H. Lorch III,Basil H. Lorch III,770,,,770,"1,258",568,910,557,12,1,,23.3,,"American Commercial Lines, Inc.",-70.011,11.813,15,free fall,406,7.25,4.75,8.25,9.00,5.25,4.25,,35.08,Yes,,emerged no refile 5,yes,,no,no,no,no,713,,,713,"1,164,404,706",741,No,,"E: Transportation, Communications, Electric, Gas",,44 Water Transportation,4400,,Not tort,,,no,no,,,no,no,Marotta Gund Budd & Dzera LLC,,,,,"290,110,000",voluntary,2004,2004,2004,2003,
American Continental Corporation,,,"5,095","4,571","5,095","12,285",,"1,096",455,,,,,89-03117,,,"Charles Keating, Jr.",,NoReplace,,,,Phoenix,Other,11,Phoenix,,,,,,yes,,,,yes,,,,no,,,,133.8,123.1,025242,207,12/31/1988,12/31/1987,12/31/1986,12/31/1988,,,,,,,,7/1/1978,8/24/1990,6/2/1989,,11/30/1990,,,,11/30/1990,,,,4/13/1989,10/1/1986,,,,,,,596,OT,Lewis Roca,Lewis & Roca LLP,,,,,,,,,,confirmed,AZ,,,,,,,yes,none,no,,,,,,no,no,"1,790",,1,,yes,Stanley B. Bernstein / Ronald E. Warnicke,yes,no,16,,,57.333,56.459,,58.002,54.419,60.544,52.083,001426,,Phoenix,0.39%,"964,033",AZ Phoenix,2060,AZ,1,1,,,OH,,,,AZ,Sarah S. Curley,Richard Bilby,,"4,866","4,443","4,866","11,731",,,,11,4,,19.9,,liquidated,,,12,free fall,710,7.50,8.50,6.00,7.75,10.00,11.50,,,,,not emerged 5,yes,no,,no,,,718,,,718,"1,731,802,056",,No,Offices of Bank Holding Companies,"H: Finance, Insurance, And Real Estate",671 Holding Offices,67 Holding And Other Investment Offices,6712,,Not tort,,,removed to District Court,no,,,no,no,,,,,,"246,820,000",voluntary,1990,1990,,1989,
American Eco Corp.,,237,,,237,407,,400,233,no data,,,,00-03253,,,Thomas Gardner,,Replaced,0000868076,,,Wilmington,Wilmington,11,Wilmington,,,,,,yes,Anderson Kill,"Anderson Kill & Olick, P.C.",,no,,,,no,,,,,172.8,02553G,101,11/30/1999,,,11/30/1999,11/30/1999,,,,,,,8/4/2000,9/17/2000,8/18/2000,,,6/26/2002,9/27/2000,,6/26/2002,,,,8/4/2000,11/18/1991,,,,-275,,,691,DE,Lowenstein Sandler,,Lowenstein Sandler PC,,yes,,,,,,,converted,DE,,,,,,,yes,docs after date,no,-2.198,-3.775,3.624,,,no,no,"1,826",,,,no,,no,no,80,,,82.917,81.112,,84.540,78.012,88.120,74.438,020417,,Houston,0.69%,"1,953,631",TX Houston,1318,TX,1316,1,-42.007,,Canada,,,,DE,Sue L. Robinson,Sue L. Robinson,191,,,191,328,,337,196,6,8,,23.0,multiple,liquidated,-46.271,,,free fall,49,4.25,8.00,4.00,8.50,4.75,9.50,,,,,not emerged 5,yes,Parallel? CCCA in Canada,yes,yes,no confirmation,no,258,276,194,258,"443,266,663",,Yes,,I: Services,,76 Miscellaneous Repair Services,7600,,Not tort,,,no,no,,,no,no,,,,,,"282,160,000",voluntary,,2002,,2000,
"American Healthcare Management, Inc.",Acquired by OrNda 1994,518,,,518,"1,345",400,"1,413",545,,,,,87-34308,,,John R. Bradley,,Replaced,,,,Dallas,Other,11,Dallas,,,,,,yes,Gardere Wynne,Gardere & Wynne,,yes,,,,,,,,125.6,114.4,026496,208,12/31/1986,12/31/1985,12/31/1984,12/31/1986,,,,12/31/1989,,12/31/1990,,7/1/1978,9/8/1989,,,10/6/1989,,,,10/6/1989,10/6/1989,10/6/1989,,8/7/1987,9/1/1983,,,,,,,791,OT,Haynes Boone,"Haynes & Boone, LLP",,,,,,,,,,confirmed,TX ND,,,,,,,some,none,no,40.401,104.816,59.653,23.470,6.766,yes,yes,"5,400","3,900",,,,,,no hits,8,,no information in 10-K,56.989,52.535,,57.333,50.873,58.002,49.334,001472,001472,Dallas,0.40%,"976,011",TX Dallas,1275,TX,1,1,-57.828,-30.157,DE,,,,TX ND,Robert C. McGuire,,493,,,493,"1,279",363,,,10,8,,26.4,,American Healthcare,-57.828,0.298,1,free fall,877,10.00,8.00,8.00,9.50,10.50,8.25,,,,,emerged no refile 5,yes,no,yes,no,yes,,489,413,,489,"1,268,752,693",282,No,General Medical and Surgical Hospitals,I: Services,806 Hospitals,80 Health Services,8062,,Not tort,,,no,no hits,,,,,,,,,,"242,290,000",voluntary,1989,1989,1989,1987,
American Home Mortgage Investment Corp.,,"18,829",,,"18,829","26,880",,,,,,,,07-11047,,,Michael J. Strauss,,NoReplace,0001256536,,,Wilmington,Wilmington,11,Wilmington,,yes,"Epiq Bankruptcy Solutions, LLC",,,yes,Hahn Hessen,Hahn & Hessen LLP / Blank Rome LLP,,no,,,,no,,,"American Home Mortgage Holdings, Inc.",212.2,207.9,02660R,107,12/31/2006,,,12/31/2006,12/31/2006,,,,,,,7/1/1988,5/31/2008,8/14/2007,,2/23/2009,,9/4/2007,11/25/2008,2/23/2009,11/30/2010,,2/24/2009,8/6/2007,2/23/2006,,,8/1/2007,,,,567,DE,Young Conaway,"Young Conaway Stargatt & Taylor, LLP",,"Milestone Advisors, LLC / Phoenix Capital, Inc.",yes,"WLR Recovery Fund III, L.P.",50,"AH Mortgage Acquisition Co., Inc.",50,,yes,confirmed,DE,Retry,,,,,7042,yes,yes,yes,"1,494.195","2,133.105","1,512.440",,,no,no,"7,409",,1,,no,,yes,fee examiner,13,,,93.439,96.417,,95.091,94.159,97.022,92.016,124315,,Melville,0.01%,"15,646",NY Central Islip,143,NY,133,14,263.527,,MD,,,,DE,Christopher S. Sontchi,Christopher S. Sontchi,"17,559",,,"17,559","25,067",,,,2,8,,18.9,,liquidated,263.527,,,free fall,624,3.25,8.25,3.25,6.25,3.25,8.25,,,No. No 10k for any years,,not emerged 5,yes,,no,no,no,yes,"1,026",,,"1,026","1,465,346,320",,Yes,Real Estate Investment Trusts,"H: Finance, Insurance, And Real Estate",679 Miscellaneous Investing,67 Holding And Other Investment Offices,6798,,Not tort,,,no,no,,,yes,"Paula Rush, pro se",Zolfo Cooper,Chief Restructuring Officer,Stephen F. Cooper,yes,manage,"301,230,000",voluntary,2009,2009,,2007,
American Homestar Corp.,,362,439,274,362,614,93,616,363,,,,,01-80017,,,Finis F. Teeter,,CEO still in office 11/2/2022,0000922812,0000922812,,Galveston,Other,11,Galveston,,,,,,yes,,,,no,,,,no,,,,177.5,175.1,026652,107,6/30/2000,5/31/1999,5/31/1998,6/30/2000,6/30/2000,,,6/28/2002,6/28/2002,6/27/2003,,10/15/2000,9/9/9999,1/18/2001,,8/14/2001,,2/27/2001,6/18/2001,8/14/2001,10/3/2001,8/14/2001,,1/11/2001,3/21/1985,,,,,,,215,OT,Floyd Isgur,"Floyd, Isgur, Rios & Wahrlich, P.C.",,,yes,,,,,,,confirmed,TX SD,,,,,,1288,yes,yes,no,-4.633,-7.853,11.860,2.995,1.799,yes,yes,"3,934",770,1,1,no,,no,no,97,,yes,81.507,81.329,,83.252,79.582,85.949,76.355,030448,030448,League City,0.02%,"49,256",TX Galveston,1317,TX,22,26,-47.591,18.511,TX,,,,TX SD,Letitia Z. Clark,Letitia Z. Clark,269,,,269,455,43,473,279,8,1,,7.2,,American Homestar Corporation,-47.591,157.641,22,free fall,171,4.75,8.50,4.00,7.75,6.75,9.00,,4.23,Yes,,emerged no refile 5,yes,,no,no,no,no,521,654,514,521,"883,163,459",92,No,,D: Manufacturing,245 Wood Buildings and Mobile Homes,"24 Lumber And Wood Products, Except Furniture",2452,,Not tort,,,no,no,,,no,no,,,,,,"284,970,000",voluntary,2001,2001,2001,2001,
"American Media Operations, Inc.",,,,941,941,"1,276",638,,,no data,,,,10-16140,,,David J. Pecker,,Replaced,0000853927,0000880555,,New York,New York,11,New York,,yes,Kurtzman Carson Consultants LLC,506.498,394.048,no,,,,no,,,,no,,,"American Media, Inc.",219.2,218.8,02744R,990,,,3/31/2008,3/31/2008,3/31/2008,,,3/31/2013,,3/31/2013,,5/7/1999,8/21/2020,,,12/20/2010,,,11/17/2010,12/20/2010,12/22/2010,12/20/2010,,11/17/2010,11/30/2006,,,,,,,33,NY,Akin Gump,"Akin, Gump, Strauss, Hauer & Field LLP",,Moelis & Company LLC,no,,,,,,no,confirmed,NY SD,,0,506.498,225.133,57.1%,123,yes,yes,yes,99.632,135.147,112.220,,,yes,yes,"1,389","1,956",1,1,no,,no,no,36,,,97.256,97.256,,98.737,94.618,100.283,94.541,259837,024317,Boca Raton,0.03%,"84,392",FL West Palm Beach,933,FL,1054,27,-61.209,,DE,yes,subcon for voting and distributions,,NY SD,Martin Glenn,Martin Glenn,,,"1,340","1,340","1,818",680,,,12,11,,1.1,,American Media Inc.,-61.894,,17,prepackaged,821,3.25,3.25,3.25,4.00,3.25,3.25,,,,,emerged no refile 5,yes,,no,no,no,no,,,491,491,"665,714,140",398,Yes,"Periodicals: Publishing, or Publishing and Printing",D: Manufacturing,272 Periodicals: Publishing Or Publishing And Printing,"27 Printing, Publishing, And Allied Industries",2721,subcon,Not tort,,,no,no,,,no,no,none,no turnfirm,none,no,none,"309,350,000",voluntary,2010,2010,2010,2010,
American Mortgage Acceptance Company,plan contemplates intent to issue stock and riase capital,,,666,666,907,,,,,,,,10-12196,,,"Robert L. Levy, President","End date is the effective date of plan; See ""DateCeoEnd"" doc for details",Replaced,0000878774,,,New York,New York,11,New York,,no,,0.000,118.000,no,,,,no,,,,no,,,,218.7,218.0,027568,104,,,12/31/2007,12/31/2007,12/31/2007,,,,,,,4/15/2010,10/15/2010,,,10/4/2010,,,8/3/2010,10/4/2010,10/15/2010,10/4/2010,,4/26/2010,11/30/2006,,,,,,,161,NY,Reid Riege,"Reid & Riege, P.C.",,,no,,,,,,no,confirmed,NY SD,Paid its secured debt before filing,0,0.000,6.976,5.9%,53,yes,yes,yes,12.805,17.433,12.805,,,yes,no,1,,1,,no,,no,no,36,,,97.256,96.011,,98.737,93.280,100.283,97.163,121833,,New York,2.64%,"8,175,133",NY New York,106,NY,1,1,-62.113,,MA,,,,NY SD,Martin Glenn,Martin Glenn,,,646,646,879,,,,10,4,,5.4,,No data,-58.582,,1,prenegotiated,631,3.25,3.25,3.25,5.25,3.25,3.25,,,,,emerged no refile 5,yes,,no,no,no,no,,,60,60,"81,832,268",,No,Real Estate Investment Trusts,"H: Finance, Insurance, And Real Estate",679 Miscellaneous Investing,67 Holding And Other Investment Offices,6798,,Not tort,,,no,no,,,no,no,none,no turnfirm,none,no,none,"309,350,000",voluntary,2010,2010,2010,2010,
American Pad & Paper Company,,472,516,638,472,830,,,,,,,,00-00066,02-46551,,James W. Swent III,Sale of assets completed in 11/2000,Replaced,0000005588,,,Wilmington,Wilmington,11,Wilmington,Sherman,,,,,yes,Kasowitz Benson,Kasowitz Benson Torres & Friedman LLP,,no,,,,no,,,AP&P,,168.8,028816,106,12/31/1999,,,12/31/1999,12/31/1999,,,,,,11/2/2000,7/7/1998,11/15/2000,1/31/2000,,,12/21/2001,2/9/2000,,12/21/2001,,11/2/2000,,1/10/2000,3/2/1992,12/20/2002,,,-145,778,297,711,DE,Gibson Dunn,,"Gibson, Dunn & Crutcher LLP / Richards, Layton & Finger PA",,yes,,,,,,,converted,DE,,,,,,,yes,docs after date,no,-7.981,-14.033,12.175,,,yes,no,"3,834",,917,,no,,no,no,80,,,81.733,79.582,83.361,83.361,76.355,86.941,72.843,063192,,Dallas,0.42%,"1,188,580",TX Dallas,1275,TX,1274,1,-80.738,,DE,,,,DE,Roderick R. McKelvie,Roderick R. McKelvie,533,,,533,937,,,,12,1,12,23.7,multiple,American Pad & Paper LLC,-81.464,,,free fall,37,4.25,7.75,4.00,8.50,4.75,8.50,4.25,,,Refiled,emerged refile 5,yes,,yes,yes,no confirmation,no,573,662,687,573,"1,006,817,008",,Yes,,D: Manufacturing,267 Converted Paper and Paperboard Products,26 Paper and Allied Products,2670,,Not tort,,,no,no,,,no,no,,,,,,"282,160,000",involuntary,,2001,2000,2000,2.1
American Plumbing & Mechanical Inc.,split to RCR; LDI Mechanical; Christiansen Air Conditioning; Parks Mechanical; Power Plumbing 2006,266,,,266,426,,453,282,US029050AB70,14.5,28.125,-13.625,03-55789,,,Robert A. Christianson,"Dissolving as a corporate entity per plan into 5 independent companies, one of which is headed by Christianson; effective date 10/6/2004",NoReplace,0001072258,,,San Antonio,Other,11,San Antonio,,,,,,yes,,,,no,,,,no,,,,189.4,185.0,029050,937,12/31/2002,,,12/31/2002,12/31/2002,,,,,,,4/1/1999,10/6/2004,10/28/2003,,7/30/2004,,11/17/2003,4/16/2004,7/30/2004,10/6/2004,7/30/2004,,10/13/2003,8/3/1987,,,,,,,291,OT,Winstead Sechrest,Winstead Sechrest & Minick P.C.,,,yes,,,,,,,confirmed,TX WD,,,,,,1754,yes,yes,no,7.303,11.716,12.553,,,yes,no,"5,500",,1,,no,,no,no,57,,,88.950,86.941,,92.016,83.361,94.159,81.733,145981,,Round Rock,0.02%,"65,980",TX Austin,1412,TX,78,20,-19.092,,DE,,,,TX WD,Leif M. Clark,Leif M. Clark,248,,,248,398,,412,257,7,10,,9.7,,American Plumbing and Mechanical,-54.698,,,free fall,45,6.25,4.75,8.25,5.50,4.25,4.00,,,No. No 10k for any years,,emerged no refile 5,yes,,no,no,no,maybe,575,,,575,"922,234,912",,Yes,,C: Construction,,17 Construction Special Trade Contractors,1700,,Not tort,,,no,no,,,no,no,,,,,,"290,110,000",voluntary,2004,2004,2004,2003,
"American Rice, Inc.",,,298,212,298,541,,363,200,,,,,98-21254,,,Douglas A. Murphy,,Replaced,0000824206,,,Corpus Christi,Other,11,Corpus Christi,,,,,,yes,Cox Smith,Cox & Smith Incorporated,,no,,,,no,,,,166.7,163.4,029318,300,,3/31/1997,3/31/1996,3/31/1997,3/31/1997,,,,,,,6/15/1993,10/4/1999,8/19/1998,,7/6/1999,,12/3/1998,,7/6/1999,10/7/1999,7/6/1999,,8/11/1998,7/31/1987,,,,,,,329,OT,Pachulski Stang,"Pachulski, Stang, Ziehl & Young",,,yes,,,,,,,confirmed,TX SD,,,,,,917,yes,mixed,no,25.418,46.169,30.810,,,yes,no,"1,500",,,,yes,Ben B. Floyd,yes,no,31,,,78.012,74.438,,81.112,71.508,81.507,68.315,014617,,Houston,0.63%,"1,738,325",TX Houston,1318,TX,184,1,3.775,,TX,,,,TX SD,Richard S. Schmidt,Richard S. Schmidt,,257,174,257,467,,,,7,8,,11.0,,American Rice,3.775,,,free fall,57,9.50,8.50,6.75,8.25,8.00,8.50,,,No. No 10k for any years,,emerged no refile 5,yes,Early owned 81% of American Rice when AmRice filed,no,no,no,no,,516,394,516,"937,253,684",,Yes,,F: Wholesale Trade,514 Groceries and Related Products,51 Wholesale Trade-non-durable Goods,5140,,Not tort,,,no,no,,,no,no,,,,,,"275,850,000",voluntary,1999,1999,1999,1998,
"American Spectrum Realty, Inc.",,,399,,399,504,,436,345,,,,,15-10721,,,William J. Carden,CEO since formation in August 2000,NoReplace,0001121783,,,Santa Ana,Other,11,Santa Ana,,,,,,yes,Levene Neale,"Levene, Neale, Bender, Yoo & Brill LLP",,no,,,,no,,,,240.6,234.7,02970Q,203,,12/31/2013,,12/31/2013,12/31/2013,,,,,,,8/15/2000,9/9/9999,1/21/2016,,7/8/2016,,,4/18/2016,7/8/2016,12/9/2016,,,2/13/2015,1/20/2011,,,,,,,511,OT,Winthrop Couchot,Winthrop Couchot PC,,,no,,,,,,no,confirmed,CA CD,,,,,,1029,yes,yes,yes,-4.216,-5.331,,,,no,pending,165,,1,,no,,no,pending,25,,,109.047,106.316,,111.530,102.463,115.047,101.154,146119,,Houston,0.72%,"2,298,628",TX Houston,1318,TX,1346,1,-13.115,,MD,,,,CA CD,Scott C. Clarkson,Scott C. Clarkson,,355,,355,448,,439,347,7,2,,17.0,,liquidated,-13.769,,1,free fall,1030,4.25,3.25,5.00,3.25,3.50,3.25,,,,,not emerged 5,no,,no,no,no,no,,43,,43,"53,958,378",,Yes,Real Estate Investment Trusts,"H: Finance, Insurance, And Real Estate",679 Miscellaneous Investing,67 Holding And Other Investment Offices,6798,,Fraud,,,no,,,,,,,,,,,"321,418,821",involuntary,2016,2016,,2015,
"American Tissue, Inc.",Liquidating plan,547,,,547,910,,,,US030222AB97,20,999999,,01-10370,,,Mehdi Gabayzadeh,,Replaced,0001095827,,,Wilmington,Wilmington,11,Wilmington,,,,,,yes,Thelen Reid,Thelen Reid & Priest LLP,,no,,,,no,,,,,178.3,030222,939,9/30/2000,,,9/30/2000,9/30/2000,,,,,,,10/15/1998,11/2/2001,9/24/2001,,,4/22/2004,2/27/2002,,3/19/2003,,,,9/10/2001,4/3/2001,,,,,,,555,DE,Pachulski Stang,"Pachulski, Stang, Ziehl & Young",,,yes,,,,,,,converted,DE,,,,,,,yes,yes,no,55.801,92.886,71.440,,,no,no,"2,692",,998,,no,,no,no,97,,,83.791,81.507,,87.439,81.112,90.857,78.012,145980,,Hauppauge,0.01%,"20,178",NY Hauppauge,143,NY,144,1,24.483,,DE,,,,CA ND,Louis H. Kornreich,Roderick R. McKelvie,424,,,424,706,,,,3,9,,18.5,,not applicable,24.483,,26,free fall,36,4.00,9.50,5.50,8.25,4.25,6.50,,,,,not emerged 5,yes,,no,no,no confirmation,no,494,,,494,"821,643,293",,Yes,Paper Mills,D: Manufacturing,262 Paper Mills,26 Paper and Allied Products,2621,,Fraud,,,no,no,,,yes,Lasalle Bank,,,,,,"284,970,000",voluntary,2003,2003,,2001,
AmericanWest Bancorporation,"Assets purchased by SKBHC Hawks Nest Acquisition, an affiliate SKBHC Holdings LLC","1,656",,,"1,656","2,247",,"2,085","1,536",,,,,10-06097,,,Patrick J. Rusnak,Resigned upon sale of bank,NoReplace,0000726990,,,Spokane,Other,11,Spokane,,no,,,,yes,none,none,,no,,,,no,,,,233.9,218.7,03058P,109,12/31/2009,,,12/31/2009,12/31/2009,,,,,,12/9/2010,7/25/2008,12/20/2010,11/19/2010,,8/30/2013,,11/18/2010,6/11/2013,8/30/2013,10/4/2013,,,10/28/2010,7/13/1997,,,,,,42,"1,037",OT,Foster Pepper,Foster Pepper PLLC,,,yes,SKBHC Hawks Nest Acquisition Corp. as lender,2,,,,yes,confirmed,WA ED,,,,,,486,yes,yes,yes,-28.557,-38.753,-21.338,,,no,no,531,,1,,no,,no,pending,36,liquidation,,102.097,97.256,,104.987,94.618,107.279,94.541,031778,,Spokane,0.07%,"208,916",WA Spokane,2140,WA,1,1,-71.124,,WA,,,,WA ED,Patricia C. Williams,Patricia C. Williams,"1,636",,,"1,636","2,220",,"2,087","1,538",8,10,,34.6,,liquidated,-71.124,,1,free fall,914,3.25,3.25,3.25,4.50,3.25,3.25,,,,,not emerged 5,no,,yes,yes,,"yes, buyer",77,,,77,"104,564,453",,No,State Commercial Banks,"H: Finance, Insurance, And Real Estate",602 Commercial Banks,60 Depository Institutions,6022,,Not tort,,,no,,,,,,none,no turnfirm,none,no,none,"309,350,000",voluntary,2013,2013,,2010,
Americold Corp.,Acquired by Vornado 7/31/98,545,529,490,545,"1,062",527,,,,,,,95-33058,,,Ronald H. Dykehouse,,NoReplace,0000811119,0000811119,,Portland,Other,11,"Portland, OR",,,,,,no,,,,no,,,,no,,,,152.5,152.2,03060T,107,2/28/1995,2/28/1994,2/28/1993,2/28/1995,2/28/1995,,,2/29/1996,2/29/1996,2/28/1997,,6/15/1990,12/18/1997,,,6/19/1995,,,4/14/1995,6/19/1995,6/30/1995,6/19/1995,,5/9/1995,4/1/1984,,,,,,,41,OT,Tonkon Torp,Tonkon Torp LLP,,,no,,,,,,,confirmed,OR,,,,,,80,yes,none,no,47.835,93.280,70.510,75.259,52.804,yes,yes,"1,889","2,021",673,663,no,,no,no,18,,no information in 10-K,65.102,65.102,,67.708,63.575,70.625,60.998,020786,020786,Portland,0.17%,"452,685",OR Portland,2400,OR,1,1,5.564,-8.080,OR,,,,OR,Elizabeth L. Perris,Elizabeth L. Perris,637,,,637,"1,241",629,,,6,5,,1.4,,Americold Corp.,5.564,-9.874,,prepackaged,405,8.25,6.75,8.50,6.00,9.00,9.00,,8.12,Yes,,emerged no refile 5,yes,,no,no,no,no,215,196,201,215,"419,649,898",311,No,,"E: Transportation, Communications, Electric, Gas",422 Public Warehousing And Storage,42 Motor Freight Transportation And Warehousing,4220,,Not tort,,,no,no,,,no,no,,,,,,"266,280,000",voluntary,1995,1995,1995,1995,
"Ames Department Stores, Inc. (1990)",,"2,271","2,154",846,"2,271","5,229",638,"3,684","1,600",,,,,90-11233,01-42217,,Peter B. Hollis,,Replaced,,0000006071,no,New York,New York,11,New York,New York,,,,,yes,Dewey Ballantine,Dewey Ballantine Bushby Palmer & Wood,,no,,,,yes,Official Employees Committee,Official Employees Committee,,141.9,128.9,030789,507,1/27/1990,1/28/1989,1/30/1988,1/27/1990,,,,1/30/1993,,1/29/1994,,9/15/1987,4/29/1990,5/16/1990,,12/18/1992,,,,12/18/1992,12/30/1992,12/18/1992,,4/25/1990,6/6/1983,8/20/2001,,,,3167,,968,NY,Skadden Arps,"Skadden, Arps, Slate, Meagher & Flom",,,,,,,,,,confirmed,NY SD,,,,,,6887,yes,none,no,-109.819,-252.862,-15.134,-22.897,-70.374,yes,yes,"55,000","23,000",1,1,no,,no,no,30,,yes,60.544,57.821,81.507,62.122,56.459,64.679,54.419,001594,001594,Rocky Hill,0.01%,"16,554",CT Hartford,205,CT,93,9,-219.634,-554.268,DE,,,,NY SD,Howard C. Buschman III,James A. Goodman,"1,914","1,567",433,"1,914","4,408",592,,,12,4,8,32.3,,Ames Department Stores,-228.062,694.996,53,free fall,573,6.00,11.50,8.50,8.50,6.00,10.00,6.75,,,Refiled,emerged no refile 5,yes,no,no,no,no,,"2,154","3,271","2,027","2,154","4,960,216,984","2,228",Yes,Department Stores,G: Retail Trade,531 Department Stores,53 General Merchandise Stores,5311,,Not tort,,,no,no,,,no,no,,,,,,"249,620,000",voluntary,1992,1992,1992,1990,8.7
